partite_perse,player_id,nemesis_id,player_name,nemesis_name
3,126555,126555,Tung Lin Wu,Tung Lin Wu
3,126610,126610,Matteo Berrettini,Matteo Berrettini
3,126610,126610,Matteo Berrettini,Matteo Berrettini
3,126610,126610,Matteo Berrettini,Matteo Berrettini
3,126652,126652,Jay Clarke,Jay Clarke
3,126652,126652,Jay Clarke,Jay Clarke
3,126652,126652,Jay Clarke,Jay Clarke
3,126878,126878,David Poljak,David Poljak
3,132283,132283,Lorenzo Sonego,Lorenzo Sonego
3,132283,132283,Lorenzo Sonego,Lorenzo Sonego
3,132283,132283,Lorenzo Sonego,Lorenzo Sonego
3,132283,132283,Lorenzo Sonego,Lorenzo Sonego
3,133297,133297,Yosuke Watanuki,Yosuke Watanuki
3,136440,136440,Dominik Koepfer,Dominik Koepfer
3,136440,136440,Dominik Koepfer,Dominik Koepfer
