player_id,country_id,name,sex,hand,ht,year_of_birth
223283,TUR,Zeynep Su Yavuz,female,U,,-1
205787,DOM,Francesca Segarelli,female,R,,1990
216004,FRA,Vanessa Ridolfo,female,U,,1984
111739,USA,Maksim Tikhomirov,male,U,,1990
223046,KOR,Sun Min Ha,female,U,,-1
224488,TUR,Duru Soke,female,U,,-1
202560,POL,Olga Brozda,female,U,,1986
222331,USA,Anastasia Tkachenko,female,R,,1998
105695,BEL,Sander Gille,male,R,,1991
222318,GER,Elena Giovanna Giessler,female,U,,-1
221489,GBR,Erika Batista Dodridge,female,U,,2001
106296,FRA,Gregoire Barrere,male,R,183.0,1994
222878,TUR,Melisa Ercan,female,U,,2005
144778,FRA,Vivien Cabos,male,U,,1992
213998,TUR,Ipek Oz,female,U,,1999
206812,FRA,Romain Bousquet,male,U,,1989
212123,CHI,Ignacia Marin,female,U,,1983
201370,AUS,Anastasia Rodionova,female,R,167.0,1982
105236,GER,Pirmin Haenle,male,R,,1988
220493,GER,Angelina Wirges,female,U,,2002
223364,KAZ,Hatshepsut Assanova,female,U,,-1
123986,CRO,Antun Vidak,male,U,,1993
214805,JPN,Satsuki Takamura,female,U,,1999
221801,PUR,Erika Barquero,female,U,,2000
202694,BRA,Teliana Pereira,female,R,,1988
215350,NED,Liza Lebedzeva,female,U,,1998
223362,EGY,Rina Hosni,female,U,,-1
106431,ARG,Francisco Bahamonde,male,R,,1996
220701,HUN,Dorka Drahota Szabo,female,R,,2002
215797,POL,Aleksandra Kulesza,female,U,,1997
221493,BDI,Aisha Niyonkuru,female,U,,2002
106401,AUS,Nick Kyrgios,male,R,193.0,1995
221589,CZE,Agata Cerna,female,U,,2004
219932,RUS,Polina Avdzhiyan,female,U,,2000
221157,FRA,Diana Martynov,female,U,,2001
222424,USA,Kyrin Pollock,female,U,,-1
207344,ITA,Pasquale De Giorgio,male,U,,1999
202379,USA,Chieh Yu Hsu,female,L,,1992
222959,GRE,Eleni Kostaki,female,R,,-1
222196,ESP,Lucia Santos Sanchez,female,U,,-1
200148,UZB,Amal Sultanbekov,male,U,,1998
127064,CAN,Rached Rihani,male,U,,1996
220521,EGY,Sherry Sherry Ayad Abd Elmalek Wassef,female,U,,2001
221420,MEX,Dianela Rodriguez,female,U,,2001
214010,BUL,Victoria Ocheva,female,R,,1996
222304,PER,Alessia Martinez,female,U,,-1
109536,USA,Mark Oljaca,male,U,,1989
222941,RUS,Polina Karelina,female,U,,-1
228911,GER,Hermine Brembt,female,U,,-1
125838,RUS,Mikhail Korovin,male,R,,1996
222496,RUS,Alena Kasatkina,female,U,,-1
221873,AUS,Nakisa Djamshidi,female,R,,1994
223317,CZE,DUPE Barbora Palicova,female,R,,2004
234487,FRA,Ines Vandekerckhove,female,U,,-1
222698,EGY,Farida Sabra,female,U,,-1
220750,UKR,Daria Snigur,female,U,,2002
124154,IND,Sasi Kumar Mukund,male,R,,1997
104548,USA,Brian Baker,male,R,190.0,1985
238186,ECU,Isabella Pita,female,U,,-1
215934,POL,Duda Ewa,female,U,,1998
206913,CHI,Carlos Jose Cuevas,male,U,,1993
105626,ZIM,Takanyi Garanganga,male,R,,1990
221012,CHN,Qinwen Zheng,female,R,,2002
103914,UAE,Omar Awadhy,male,R,,1982
