id,sex
4753,Male
4754,Male
4757,Male
4761,Male
4762,Male
4766,Male
4767,Male
4779,Male
4782,Male
4785,Male
4788,Male
4793,Male
4794,Male
4795,Male
4804,Male
4812,Male
4814,Male
4817,Male
4827,Male
4834,Male
4835,Male
4843,Male
4851,Male
4861,Male
4862,Male
4863,Male
4874,Male
4875,Male
4877,Male
4896,Male
4901,Male
4916,Male
4924,Male
4928,Male
4934,Male
4943,Male
4944,Male
4947,Male
4950,Male
4954,Male
4955,Male
4966,Male
4967,Male
4969,Male
4979,Male
4985,Male
4989,Male
4995,Male
4996,Male
5001,Male
5002,Male
5005,Male
5012,Male
5018,Male
5020,Male
5023,Male
5027,Male
5036,Male
5037,Male
5038,Male
5041,Male
5046,Male
5056,Male
5057,Male
5060,Male
5061,Male
5065,Male
5066,Male
5070,Male
5079,Male
5080,Male
5083,Male
5085,Male
5091,Male
5105,Male
5108,Male
5115,Male
5116,Male
5117,Male
5118,Male
5121,Male
5122,Male
5123,Male
5126,Male
5133,Male
5137,Male
5140,Male
5141,Male
5143,Male
5145,Male
5153,Male
5154,Male
5162,Male
5164,Male
5166,Male
5167,Male
5170,Male
5173,Male
5175,Male
5199,Male
5204,Male
5206,Male
5207,Male
5212,Male
5215,Male
5216,Male
5217,Male
5219,Male
5220,Male
5222,Male
5227,Male
5241,Male
5244,Male
5245,Male
5247,Male
5251,Male
5252,Male
5256,Male
5269,Male
5274,Male
5276,Male
5280,Male
5283,Male
5290,Male
5292,Male
5301,Male
5303,Male
5310,Male
5318,Male
5323,Male
5324,Male
5327,Male
5334,Male
5335,Male
5347,Male
5353,Male
5355,Male
5357,Male
5359,Male
5364,Male
5370,Male
5376,Male
5377,Male
5381,Male
5382,Male
5383,Male
5387,Male
5396,Male
5400,Male
5403,Male
5405,Male
5407,Male
5416,Male
5417,Male
5419,Male
5420,Male
5423,Male
5426,Male
5427,Male
5428,Male
5429,Male
5439,Male
5449,Male
5451,Male
5452,Male
5453,Male
5460,Male
5462,Male
5465,Male
5468,Male
5471,Male
5472,Male
5474,Male
5475,Male
5478,Male
5479,Male
5480,Male
5484,Male
5490,Male
5493,Male
5502,Male
5503,Male
5504,Male
5507,Male
5510,Male
5521,Male
5529,Male
5532,Male
5545,Male
5547,Male
5554,Male
5561,Male
5563,Male
5564,Male
5577,Male
5595,Male
5601,Male
5602,Male
5612,Male
5619,Male
5626,Male
5628,Male
5629,Male
5633,Male
5638,Male
5641,Male
5644,Male
5651,Male
5653,Male
5665,Male
5667,Male
5673,Male
5684,Male
5685,Male
5696,Male
5702,Male
5709,Male
5727,Male
5731,Male
5745,Male
5746,Male
5750,Male
5780,Male
5781,Male
5786,Male
5787,Male
5792,Male
5797,Male
5807,Male
5821,Male
5830,Male
5833,Male
5836,Male
5839,Male
5856,Male
5858,Male
5862,Male
5867,Male
5879,Male
5881,Male
5884,Male
5888,Male
5896,Male
5898,Male
5899,Male
5902,Male
5905,Male
5906,Male
5909,Male
5911,Male
5918,Male
5925,Male
5927,Male
5930,Male
5931,Male
5936,Male
5940,Male
5970,Male
5988,Male
5991,Male
5993,Male
5996,Male
6002,Male
6012,Male
6014,Male
6034,Male
6042,Male
6045,Male
6056,Male
6058,Male
6061,Male
6073,Male
6084,Male
6088,Male
6095,Male
6098,Male
6102,Male
6117,Male
6118,Male
6119,Male
6120,Male
6126,Male
6132,Male
6134,Male
6141,Male
6142,Male
6146,Male
6149,Male
6153,Male
6155,Male
6164,Male
6165,Male
6167,Male
6168,Male
6170,Male
6181,Male
6196,Male
6202,Male
6204,Male
6216,Male
6218,Male
6219,Male
6222,Male
6224,Male
6227,Male
6229,Male
6239,Male
6245,Male
6249,Male
6250,Male
6253,Male
6258,Male
6261,Male
6270,Male
6273,Male
6276,Male
6283,Male
6284,Male
6302,Male
6306,Male
6309,Male
6314,Male
6321,Male
6326,Male
6327,Male
6336,Male
6337,Male
6338,Male
6339,Male
6348,Male
6352,Male
6356,Male
6359,Male
6362,Male
6369,Male
6382,Male
6388,Male
6393,Male
6400,Male
6403,Male
6409,Male
6411,Male
6413,Male
6415,Male
6422,Male
6427,Male
6429,Male
6439,Male
6454,Male
6455,Male
6467,Male
6478,Male
6483,Male
6485,Male
6488,Male
6502,Male
6504,Male
6515,Male
6520,Male
6526,Male
6533,Male
6535,Male
6537,Male
6540,Male
6543,Male
6544,Male
6546,Male
6551,Male
6552,Male
6558,Male
6559,Male
6563,Male
6571,Male
6576,Male
6577,Male
6581,Male
6585,Male
6594,Male
6595,Male
6611,Male
6618,Male
6629,Male
6631,Male
6633,Male
6634,Male
6637,Male
6641,Male
6645,Male
6648,Male
6657,Male
6664,Male
6668,Male
6674,Male
6676,Male
6677,Male
6682,Male
6685,Male
6694,Male
6696,Male
6700,Male
6702,Male
6713,Male
6714,Male
6716,Male
6719,Male
6722,Male
6725,Male
6730,Male
6731,Male
6736,Male
6746,Male
6748,Male
6766,Male
6769,Male
6770,Male
6779,Male
6785,Male
6788,Male
6790,Male
6793,Male
6794,Male
6802,Male
6819,Male
6820,Male
6825,Male
6833,Male
6834,Male
6842,Male
6874,Male
6877,Male
6883,Male
6884,Male
6891,Male
6893,Male
6909,Male
6912,Male
6931,Male
6932,Male
6935,Male
6939,Male
6944,Male
6946,Male
6947,Male
6951,Male
6953,Male
6961,Male
6964,Male
6967,Male
6968,Male
6976,Male
6977,Male
6978,Male
6983,Male
6986,Male
6987,Male
6990,Male
6999,Male
7006,Male
7007,Male
7011,Male
7014,Male
7017,Male
7027,Male
7034,Male
7041,Male
7042,Male
7043,Male
7044,Male
7053,Male
7058,Male
7059,Male
7061,Male
7062,Male
7064,Male
7073,Male
7074,Male
7081,Male
7088,Male
7093,Male
7104,Male
7107,Male
7109,Male
7114,Male
7118,Male
7131,Male
7140,Male
7149,Male
7151,Male
7158,Male
7165,Male
7166,Male
7168,Male
7179,Male
7182,Male
7188,Male
7190,Male
7195,Male
7201,Male
7211,Male
7217,Male
7222,Male
7223,Male
7232,Male
7233,Male
7234,Male
7241,Male
7251,Male
7252,Male
7253,Male
7254,Male
7256,Male
7258,Male
7261,Male
7264,Male
7269,Male
7271,Male
7279,Male
7283,Male
7292,Male
7300,Male
7309,Male
7310,Male
7322,Male
7325,Male
7328,Male
7332,Male
7338,Male
7342,Male
7348,Male
7350,Male
7352,Male
7355,Male
7356,Male
7360,Male
7366,Male
7368,Male
7369,Male
7374,Male
7381,Male
7384,Male
7385,Male
7387,Male
7389,Male
7390,Male
7391,Male
7394,Male
7415,Male
7423,Male
7428,Male
7442,Male
7443,Male
7446,Male
7453,Male
7467,Male
7468,Male
7469,Male
7473,Male
7475,Male
7487,Male
7489,Male
7492,Male
7496,Male
7499,Male
7509,Male
7514,Male
7528,Male
7530,Male
7531,Male
7538,Male
7549,Male
7552,Male
7562,Male
7565,Male
7567,Male
7589,Male
7591,Male
7594,Male
7606,Male
7608,Male
7612,Male
7618,Male
7624,Male
7626,Male
7632,Male
7646,Male
7665,Male
7667,Male
7682,Male
7691,Male
7694,Male
7696,Male
7699,Male
7702,Male
7704,Male
7708,Male
7712,Male
7713,Male
7715,Male
7720,Male
7735,Male
7738,Male
7744,Male
7745,Male
7747,Male
7749,Male
7759,Male
7763,Male
7766,Male
7767,Male
7774,Male
7780,Male
7787,Male
7794,Male
7796,Male
7798,Male
7799,Male
7801,Male
7802,Male
7804,Male
7809,Male
7810,Male
7816,Male
7820,Male
7824,Male
7827,Male
7828,Male
7837,Male
7840,Male
7845,Male
7850,Male
7851,Male
7854,Male
7857,Male
7862,Male
7865,Male
7868,Male
7871,Male
7874,Male
7879,Male
7886,Male
7888,Male
7897,Male
7907,Male
7909,Male
7912,Male
7913,Male
7928,Male
7931,Male
7935,Male
7950,Male
7951,Male
7954,Male
7956,Male
7961,Male
7974,Male
7981,Male
7983,Male
7984,Male
7990,Male
7992,Male
7998,Male
8005,Male
8006,Male
8008,Male
8014,Male
8018,Male
8021,Male
8025,Male
8026,Male
8037,Male
8041,Male
8047,Male
8051,Male
8064,Male
8066,Male
8071,Male
8081,Male
8083,Male
8097,Male
8100,Male
8101,Male
8114,Male
8118,Male
8119,Male
8123,Male
8126,Male
8128,Male
8133,Male
8137,Male
8141,Male
8142,Male
8143,Male
8148,Male
8150,Male
8157,Male
8158,Male
8159,Male
8168,Male
8174,Male
8175,Male
8181,Male
8182,Male
8192,Male
8193,Male
8194,Male
8198,Male
8199,Male
8208,Male
8210,Male
8217,Male
8225,Male
8231,Male
8239,Male
8242,Male
8256,Male
8267,Male
8274,Male
8275,Male
8278,Male
8280,Male
8286,Male
8293,Male
8295,Male
8299,Male
8305,Male
8306,Male
8320,Male
8326,Male
8328,Male
8330,Male
8331,Male
8335,Male
8340,Male
8352,Male
8367,Male
8368,Male
8371,Male
8378,Male
8382,Male
8383,Male
8386,Male
8393,Male
8400,Male
8401,Male
8402,Male
8409,Male
8410,Male
8412,Male
8414,Male
8416,Male
8417,Male
8427,Male
8431,Male
8435,Male
8447,Male
8449,Male
8456,Male
8458,Male
8467,Male
8477,Male
8479,Male
8480,Male
8489,Male
8492,Male
8493,Male
8495,Male
8496,Male
8497,Male
8502,Male
8510,Male
8516,Male
8517,Male
8523,Male
8525,Male
8529,Male
8538,Male
8547,Male
8562,Male
8563,Male
8564,Male
8567,Male
8568,Male
8573,Male
8595,Male
8596,Male
8600,Male
8606,Male
8615,Male
8619,Male
8621,Male
8628,Male
8632,Male
8633,Male
8634,Male
8641,Male
8642,Male
8655,Male
8657,Male
8661,Male
8663,Male
8668,Male
8672,Male
8676,Male
8685,Male
8687,Male
8688,Male
8695,Male
8697,Male
8702,Male
8705,Male
8707,Male
8709,Male
8713,Male
8717,Male
8719,Male
8724,Male
8725,Male
8727,Male
8731,Male
8733,Male
8735,Male
8744,Male
8750,Male
8760,Male
8772,Male
8773,Male
8777,Male
8781,Male
8782,Male
8786,Male
8802,Male
8810,Male
8813,Male
8818,Male
8821,Male
8828,Male
8830,Male
8833,Male
8836,Male
8854,Male
8860,Male
8861,Male
8862,Male
8872,Male
8875,Male
8884,Male
8887,Male
8894,Male
8898,Male
8902,Male
8903,Male
8905,Male
8911,Male
8914,Male
8916,Male
8917,Male
8920,Male
8921,Male
8925,Male
8929,Male
8931,Male
8932,Male
8934,Male
8935,Male
8936,Male
8939,Male
8940,Male
8942,Male
8946,Male
8952,Male
8953,Male
8969,Male
8971,Male
8972,Male
8976,Male
8981,Male
8985,Male
8993,Male
8999,Male
9004,Male
9010,Male
9011,Male
9014,Male
9015,Male
9019,Male
9024,Male
9027,Male
9034,Male
9047,Male
9048,Male
9050,Male
9066,Male
9067,Male
9068,Male
9069,Male
9072,Male
9073,Male
9078,Male
9079,Male
9080,Male
9084,Male
9089,Male
9091,Male
9099,Male
9100,Male
9107,Male
9114,Male
9119,Male
9124,Male
9142,Male
9152,Male
9155,Male
9157,Male
9163,Male
9165,Male
9166,Male
9169,Male
9170,Male
9173,Male
9177,Male
9178,Male
9185,Male
9187,Male
9198,Male
9213,Male
9218,Male
9225,Male
9246,Male
9249,Male
9250,Male
9257,Male
9265,Male
